AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
Newton,CRIMINAL THREATS - NO WEAPON DISPLAYED,52,M,B,STREET,VERBAL THREAT,Invest Cont,10,Saturday,1,Morning,0,0.0,2,1,0,0.49999999999999994,-0.8660254037844387
Rampart,BURGLARY FROM VEHICLE,34,F,W,PARKING LOT,undefined,Invest Cont,20,Friday,0,Evening,0,24.0,7,0,9,-0.8660254037844386,0.5000000000000001
N Hollywood,BURGLARY FROM VEHICLE,39,F,W,STREET,undefined,Invest Cont,18,Thursday,0,Evening,0,72.0,11,0,8,-1.0,-1.8369701987210297e-16
West LA,BURGLARY FROM VEHICLE,33,F,W,PARKING LOT,undefined,Invest Cont,17,Tuesday,0,Afternoon,0,0.0,10,0,10,-0.9659258262890683,-0.25881904510252063
Rampart,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",65,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,10,Saturday,1,Morning,0,48.0,3,0,9,0.49999999999999994,-0.8660254037844387
Topanga,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30,F,W,YARD (RESIDENTIAL/BUSINESS),undefined,Adult Arrest,20,Tuesday,0,Evening,0,48.0,8,0,7,-0.8660254037844386,0.5000000000000001
Rampart,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),29,M,W,STREET,undefined,Invest Cont,21,Friday,0,Evening,0,72.0,7,0,6,-0.7071067811865477,0.7071067811865474
Southeast,BATTERY - SIMPLE ASSAULT,24,F,B,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,22,Friday,0,Night,1,0.0,9,0,13,-0.5000000000000004,0.8660254037844384
Wilshire,"BUNCO, PETTY THEFT",35,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,11,Tuesday,0,Morning,0,288.0,6,0,12,0.258819045102521,-0.9659258262890682
Northeast,THEFT OF IDENTITY,56,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,8,Wednesday,0,Morning,0,696.0,1,0,14,0.8660254037844387,-0.4999999999999998
Devonshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),47,M,H,OTHER STORE,undefined,Invest Cont,11,Thursday,0,Morning,0,312.0,6,0,7,0.258819045102521,-0.9659258262890682
